<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;60;28/12/18;180000;1121.6000000;1131.3000000;1121.6000000;1129.1000000;49960
NVTK;60;28/12/18;190000;1129.1000000;1129.9000000;1121.3000000;1126.8000000;52750
NVTK;60;29/12/18;110000;1126.8000000;1131.8000000;1122.3000000;1130.0000000;10290
NVTK;60;29/12/18;120000;1130.1000000;1131.7000000;1128.3000000;1130.0000000;2480
NVTK;60;29/12/18;130000;1128.6000000;1130.0000000;1124.4000000;1124.4000000;14860
NVTK;60;29/12/18;140000;1124.5000000;1129.3000000;1124.4000000;1128.5000000;4290
NVTK;60;29/12/18;150000;1128.6000000;1129.6000000;1128.6000000;1129.2000000;12880
NVTK;60;29/12/18;160000;1129.6000000;1131.8000000;1129.2000000;1131.8000000;11330
NVTK;60;29/12/18;170000;1131.7000000;1132.1000000;1131.0000000;1132.1000000;8480
NVTK;60;29/12/18;180000;1132.1000000;1133.3000000;1129.7000000;1130.5000000;10810
NVTK;60;29/12/18;190000;1130.5000000;1132.0000000;1128.1000000;1131.1000000;2660
NVTK;60;03/01/19;110000;1131.9000000;1131.9000000;1117.6000000;1122.5000000;48360
NVTK;60;03/01/19;120000;1122.7000000;1126.8000000;1111.4000000;1115.0000000;85560
NVTK;60;03/01/19;130000;1115.3000000;1118.8000000;1112.8000000;1114.0000000;33750
NVTK;60;03/01/19;140000;1115.0000000;1117.2000000;1113.3000000;1117.0000000;23260
NVTK;60;03/01/19;150000;1117.2000000;1122.6000000;1116.4000000;1120.5000000;61270
NVTK;60;03/01/19;160000;1120.1000000;1122.2000000;1117.7000000;1120.2000000;30190
NVTK;60;03/01/19;170000;1120.0000000;1123.6000000;1116.2000000;1116.8000000;45350
NVTK;60;03/01/19;180000;1116.6000000;1118.1000000;1111.8000000;1115.9000000;50620
NVTK;60;03/01/19;190000;1115.4000000;1118.2000000;1111.0000000;1118.2000000;39220
NVTK;60;04/01/19;110000;1118.0000000;1125.2000000;1118.0000000;1122.3000000;47520
NVTK;60;04/01/19;120000;1122.3000000;1136.9000000;1121.0000000;1136.5000000;129320
NVTK;60;04/01/19;130000;1136.5000000;1140.8000000;1132.2000000;1138.3000000;35210
