<TICKER>;<CLOSE>
RTSI;1573.28
RTSI;1574.8
RTSI;1576.14
RTSI;1578.75
RTSI;1577.08
RTSI;1576.88
RTSI;1570.69
RTSI;1570.31
RTSI;1569.21
RTSI;1568.35
RTSI;1569.18
RTSI;1568.42
RTSI;1569.38
RTSI;1570.49
RTSI;1570.82
RTSI;1572.75
RTSI;1572.89
RTSI;1573.73
RTSI;1575.28
RTSI;1574.27
RTSI;1572.04
RTSI;1572.23
RTSI;1571.11
RTSI;1571.62
RTSI;1572.56
RTSI;1574.2
RTSI;1574.1
RTSI;1574.19
RTSI;1573.87
RTSI;1575.19
RTSI;1574.25
RTSI;1573.78
RTSI;1576.03
RTSI;1576.96
RTSI;1577.18
RTSI;1574.96
RTSI;1574.64
RTSI;1573.63
RTSI;1573.47
RTSI;1573.41
RTSI;1573.95
RTSI;1573.94
RTSI;1570.51
RTSI;1568.39
RTSI;1571.32
RTSI;1568.13
RTSI;1569.69
RTSI;1571.4
RTSI;1570.14
RTSI;1566.97
RTSI;1566.2
RTSI;1567.81
RTSI;1561.87
RTSI;1564.14
RTSI;1562.38
RTSI;1562.38
RTSI;1560.48
RTSI;1560.48
RTSI;1575.13
RTSI;1577.54
RTSI;1575.54
RTSI;1575.26
RTSI;1574.68
RTSI;1574.8
RTSI;1572.47
RTSI;1573.39
RTSI;1573.22
RTSI;1572.03
RTSI;1572.02
RTSI;1571.56
RTSI;1574.37
RTSI;1572.32
RTSI;1570.07
RTSI;1569.26
RTSI;1566.57
RTSI;1564.93
RTSI;1564.75
RTSI;1565.03
RTSI;1565.46
RTSI;1565.67
RTSI;1566.01
RTSI;1565.75
RTSI;1562.74
RTSI;1562.18
RTSI;1561.29
RTSI;1560.5
RTSI;1559.56
RTSI;1557.99
RTSI;1558.27
RTSI;1557.66
RTSI;1557.22
RTSI;1555.4
RTSI;1554.17
RTSI;1554.89
RTSI;1554.59
RTSI;1554.28
RTSI;1554.93
RTSI;1554.65
RTSI;1553.26
RTSI;1555.44
RTSI;1554.54
RTSI;1555.73
RTSI;1554.57
RTSI;1554.78
RTSI;1552.09
RTSI;1548.8
RTSI;1548.48
RTSI;1549.52
RTSI;1548.9
RTSI;1550.11
RTSI;1549.25
RTSI;1552.07
RTSI;1553.08
RTSI;1552.13
RTSI;1553.04
RTSI;1553.03
RTSI;1552.87
RTSI;1555.07
RTSI;1554.48
RTSI;1555.04
RTSI;1554.22
RTSI;1555
RTSI;1554.55
RTSI;1551.44
RTSI;1550.85
RTSI;1549.96
RTSI;1548.85
RTSI;1548.27
RTSI;1546.88
RTSI;1548.96
RTSI;1547.72
RTSI;1547.88
RTSI;1545.76
RTSI;1546.27
RTSI;1544.42
RTSI;1545.2
RTSI;1546.57
RTSI;1547.05
RTSI;1546.04
RTSI;1544.13
RTSI;1542.14
RTSI;1540.55
RTSI;1542.25
RTSI;1542.25
RTSI;1542.35
RTSI;1540.39
RTSI;1541.15
RTSI;1541.62
RTSI;1537.07
RTSI;1535.89
RTSI;1535.31
RTSI;1536.11
RTSI;1537.72
